id,sigla,nome,preco_atual,capitalizacao_mercado,posicao_mercado,volume_total,preco_max_24h,preco_min_24h,variacao_preco_24h,percentual_variacao_24h,max_historico,data_max_historico,min_historico,data_min_historico,ultima_atualizacao
bitcoin,BTC,Bitcoin,59328.0,1170330406436,1,29763101466,61361.0,58710.0,-1181.5894147578947,-1.95272,73738.0,2024-03-14,67.81,2013-07-06,2024-08-21
ethereum,ETH,Ethereum,2591.96,311761459414,2,12725333031,2697.94,2562.11,-59.711185889586886,-2.25183,4878.26,2021-11-10,0.432979,2015-10-20,2024-08-21
tether,USDT,Tether,1.0,117323390604,3,44698864935,1.003,0.998249,-0.000790569181900791,-0.07896,1.32,2018-07-24,0.572521,2015-03-02,2024-08-21
binancecoin,BNB,BNB,564.73,82316550910,4,1323813372,573.92,559.18,-1.0647668026418842,-0.18819,717.48,2024-06-06,0.0398177,2017-10-19,2024-08-21
solana,SOL,Solana,142.83,66595733607,5,2372704310,148.67,141.12,-2.843531667635915,-1.95203,259.96,2021-11-06,0.500801,2020-05-11,2024-08-21
usd-coin,USDC,USDC,1.0,34759394575,6,6029916334,1.003,0.998098,-0.001039860615448252,-0.10384,1.17,2019-05-08,0.877647,2023-03-11,2024-08-21
ripple,XRP,XRP,0.598955,33595110223,7,1374552906,0.613423,0.588437,-0.008924814628595956,-1.46819,3.4,2018-01-07,0.00268621,2014-05-22,2024-08-21
staked-ether,STETH,Lido Staked Ether,2590.02,25447317631,8,94127141,2691.83,2564.07,-60.30338660166353,-2.27532,4829.57,2021-11-10,482.9,2020-12-22,2024-08-21
the-open-network,TON,Toncoin,6.66,16801919306,9,331961908,6.89,6.59,-0.16040000302686686,-2.35054,8.25,2024-06-15,0.519364,2021-09-21,2024-08-21
dogecoin,DOGE,Dogecoin,0.103601,15066031466,10,664969254,0.10565,0.101494,0.00058994,0.5727,0.731578,2021-05-08,8.69e-05,2015-05-06,2024-08-21
